libId,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,SAMPLE,LIBRARY,READ_GROUP,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,SAMPLE,LIBRARY,READ_GROUP,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,LIBRARY,UNPAIRED_READS_EXAMINED,READ_PAIRS_EXAMINED,UNMAPPED_READS,UNPAIRED_READ_DUPLICATES,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,PERCENT_DUPLICATION,ESTIMATED_LIBRARY_SIZE,mapped_reads_w_dups
lib1532_D1G9TACXX,UNPAIRED,12216371,12216371,1,0,12216371,1,561281132,10979639,507022088,500309484,0,0.007903,0.006197,0.00003,48.717535,0,0,0,0.500038,0,0,,,,595151485,595139065,4203624,276652559,239831563,55622311,18829330,0,3711920,3711044,0.007063,0.464854,0.402984,0.093461,0.031639,0.867838,0.86782,0.500059,0.431447,0.62428,0.694311,0.825946,,,,13084431,12216374,93.4%,1236733,10.1%,1126174,608997,0,0,4346604,Unknown Library,12216371,0,0,4974837,0,0,0.407227,,0.933657
lib1538_D1G9TACXX,UNPAIRED,11609160,11609160,1,0,11609160,1,534376435,10082237,466648345,462980848,0,0.006681,0.004081,0.000031,48.718379,0,0,0,0.500748,0,0,,,,565579456,565566980,2266661,284096543,234050734,28643734,16509447,0,3711255,3663190,0.004008,0.502322,0.413834,0.050646,0.029191,0.916155,0.916135,0.503259,0.473585,0.602404,0.677761,0.855112,,,,12291504,11609163,94.4%,1526924,13.2%,513799,603112,0,0,5470079,Unknown Library,11609160,0,0,5203896,0,0,0.448258,,0.944487
lib1541_D1G9TACXX,UNPAIRED,11443464,11443464,1,0,11443464,1,521633881,10219497,468799840,465063812,0,0.006772,0.004363,0.000031,48.701561,0,0,0,0.500905,0,0,,,,557314556,557302383,4604140,259901273,220377412,53580548,18839322,0,3452232,3431513,0.008261,0.466356,0.395436,0.096143,0.033804,0.861792,0.861773,0.501505,0.432414,0.622382,0.712583,0.856691,,,,12210476,11443467,93.7%,1223968,10.7%,1067351,545801,0,0,4429921,Unknown Library,11443464,0,0,4613521,0,0,0.403158,,0.937184
lib1544_D1G9TACXX,UNPAIRED,10737206,10737206,1,0,10737206,1,489998915,9578925,440438548,434513900,0,0.010031,0.006299,0.00003,48.702573,0,0,0,0.500603,0,0,,,,522929561,522918722,4138858,241920606,200595656,55972457,20292365,0,3174886,3176412,0.007915,0.462635,0.383608,0.107039,0.038806,0.846243,0.846225,0.49988,0.42718,0.650327,0.725037,0.852969,,,,11499712,10737209,93.4%,1158282,10.8%,1106130,508365,0,0,4524333,Unknown Library,10737206,0,0,4295090,0,0,0.400019,,0.933693
lib1546_D1G9TACXX,UNPAIRED,12585589,12585589,1,0,12585589,1,567331364,11058140,502413137,495250635,0,0.011573,0.00809,0.000038,48.733709,0,0,0,0.500246,0,0,,,,613342427,613329517,8178580,285491163,242244174,54540156,22876040,0,3778757,3747357,0.013335,0.465478,0.394966,0.088925,0.037298,0.860443,0.860425,0.502086,0.437686,0.608525,0.655719,0.846558,,,,13473368,12585592,93.4%,1527450,12.1%,1043530,591879,0,0,5804571,Unknown Library,12585589,0,0,5761112,0,0,0.457755,,0.934109
lib1550_D1G9TACXX,UNPAIRED,10319046,10319046,1,0,10319046,1,476494475,9040619,420451237,414944986,0,0.010113,0.006063,0.000028,48.725011,0,0,0,0.500709,0,0,,,,502795635,502785759,1476045,253291300,199943717,30257963,17816843,0,3232424,3217704,0.002936,0.503776,0.397672,0.060181,0.035436,0.901448,0.90143,0.501141,0.458964,0.636298,0.719783,0.847739,,,,11023551,10319049,93.6%,1278428,12.4%,555288,526360,0,0,4997538,Unknown Library,10319046,0,0,4344218,0,0,0.42099,,0.936091
lib1552_D1G9TACXX,UNPAIRED,10859451,10859451,1,0,10859451,1,499907963,9430703,436978223,431314919,0,0.009727,0.006155,0.000029,48.725203,0,0,0,0.500877,0,0,,,,529128952,529118123,2319087,262918503,215037163,30704289,18139216,0,3431134,3422564,0.004383,0.496899,0.406407,0.058029,0.034282,0.903306,0.903288,0.500625,0.447713,0.642065,0.690189,0.906349,,,,11670062,10859454,93.1%,1428749,13.2%,560446,554381,0,0,5429038,Unknown Library,10859451,0,0,4728420,0,0,0.43542,,0.930539
lib1554_D1G9TACXX,UNPAIRED,10773402,10773402,1,0,10773402,1,493470791,9676635,445448189,439480334,0,0.007597,0.00624,0.000029,48.712376,0,0,0,0.500824,0,0,,,,524798012,524787160,3728762,245762533,213765072,46066396,15464650,0,3279222,3266160,0.007105,0.468309,0.407337,0.087781,0.029468,0.875646,0.875628,0.500998,0.440403,0.621954,0.668472,0.842316,,,,11466166,10773405,94.0%,1096768,10.2%,929094,540755,0,0,3745769,Unknown Library,10773402,0,0,4422769,0,0,0.410527,,0.939582
lib1562_D1G9TACXX,UNPAIRED,11231786,11231786,1,0,11231786,1,515956255,9776263,452098818,448622198,0,0.007929,0.004321,0.000034,48.709656,0,0,0,0.500282,0,0,,,,547096433,547083525,2329770,264309816,230149246,31968262,18326590,0,3528752,3518228,0.004259,0.483125,0.420684,0.058434,0.033499,0.903809,0.903788,0.500747,0.469241,0.580146,0.674651,0.809103,,,,12106128,11231789,92.8%,1455524,13.0%,574731,593081,0,0,5483251,Unknown Library,11231786,0,0,5148103,0,0,0.458351,,0.927777
lib1565_D1G9TACXX,UNPAIRED,10451008,10451008,1,0,10451008,1,479869009,9222655,426084738,422670798,0,0.007274,0.004507,0.000034,48.701613,0,0,0,0.500907,0,0,,,,508980942,508969866,3048456,246412162,208091199,35049749,16368542,0,3233452,3218034,0.005989,0.484139,0.408848,0.068864,0.03216,0.892987,0.892967,0.501195,0.445748,0.609276,0.660385,0.842955,,,,11195837,10451011,93.3%,1228354,11.8%,671604,524246,0,0,4500275,Unknown Library,10451008,0,0,4595506,0,0,0.439719,,0.933473
